Dates;S&P500 COMPOSITE;S&P500 ES ENERGY;S&P500 ES HEALTH CARE;S&P500 ES REAL ESTATE;S&P500 ES INFO TECHNOLOGY;S&P500 ES FINANCIALS;S&P500 TRANSPORTATION;S&P500 PHARMACEUTICALS;S&P500 TELECOM SERV;S&P500 HOTELS REST & LEISURE IN;S&P500 FOOD RETAIL;S&P500 FOOD DISTRIBUTORS
14.06.2022;-0,377370567;0,066004526;-1,064859632;-1,008945713;0,620796689;-0,943035311;1,464551823;-0,683215668;-0,866210511;-0,550165595;0,117483129;0,527135999
13.06.2022;-3,876837415;-5,128816794;-3,007353899;-4,780241151;-4,467644023;-2,949857984;-2,514027228;-2,277448071;-3,565913239;-3,997216985;-1,485748123;-2,674117958
10.06.2022;-2,911031355;-1,704403898;-1,633497829;-2,399210386;-3,890710383;-3,654086925;-2,895275906;-1,725736068;-0,773142021;-4,300698049;1,306102416;-0,702495628
09.06.2022;-2,379870595;-2,302306602;-2,291021672;-2,288660559;-2,724451368;-2,605999373;-1,974869067;-2,233965645;-1,156626506;-2,208919695;-1,541022337;-3,135066334
08.06.2022;-1,079390869;0,150563538;-0,781668693;-2,432050957;-1,111151546;-1,70373795;-3,134148787;-0,624316995;-0,697340535;-0,973418195;-1,556677326;0,058780309
07.06.2022;0,952339358;3,138310459;1,302983355;1,153170303;1,215514384;0,687907314;0,566657928;1,480705646;0,896737256;0,157631226;-0,229406181;0,45960948
06.06.2022;0,313736753;-0,113748837;-0,003310316;-0,292013433;0,04217198;0,382478669;0,671972065;0,184143117;0,554900465;0,580404537;-0,743299832;0,558172677
03.06.2022;-1,634736474;1,397543439;-1,138870162;-1,243646588;-2,476052053;-1,533716194;-0,656468382;-0,123295694;-0,82547981;-1,057316214;-0,642309193;-0,083063049
02.06.2022;1,843105605;-0,298685783;0,778348713;1,466715435;2,439513243;1,413684047;1,762973453;-0,36036405;-0,020632737;2,720161279;2,977800391;1,284991737
01.06.2022;-0,748278741;1,762917933;-1,42335102;-1,099696137;-0,331853446;-1,672132819;-0,774870176;-1,015393034;0,103270224;-1,485335459;-3,05807222;-1,104397781
31.05.2022;-0,627428912;-1,648655516;-1,373658086;-1,341898644;-0,703566817;-0,33702537;-0,535755882;-1,427429827;-0,260935247;0,094496126;0,020772207;-0,355309909
30.05.2022;0;0;0;0;0;0;0;0;0;0;0;0
27.05.2022;2,474222739;1,667021244;1,717536089;2,821914792;3,438644976;1,785898983;1,864193455;0,948885236;0,545429439;2,174177353;1,571854313;1,979809367
26.05.2022;1,988322907;1,143524638;0,415282936;-0,098980864;2,449539907;2,249092255;2,806355132;0,378561668;0,041442188;3,691645964;1,916460596;4,675762524
25.05.2022;0,945076469;1,963672836;-0,017682424;0,5640553;1,209626648;0,801307677;0,674824353;-0,237301828;1,046901173;1,962963803;-0,68074428;2,631891956
24.05.2022;-0,81207927;0,405973155;0,254750305;1,205133945;-1,5667671;-0,235748724;-1,018833626;0,871921283;1,631437083;-1,466282215;2,568385313;-1,883169241
23.05.2022;1,855506798;2,678816667;0,804151141;1,216012085;2,366838018;3,233362001;1,710256162;0,87233496;1,286011926;0,473107011;3,207483185;2,091524506
20.05.2022;0,014612425;0,429999351;1,259960727;1,188429057;0,13712313;-0,120625057;0,18199832;2,34179478;0,687210648;0,948386609;1,375121756;-2,65491391
19.05.2022;-0,583380908;-0,281544287;0,216941594;-0,202120357;-1,073507296;-0,69512505;-2,754272788;-0,751424576;0,246555475;0,700865238;0,206694609;-2,019669828
18.05.2022;-4,039522115;-2,750590087;-2,597181698;-2,946184025;-4,741085694;-2,79796768;-5,344964314;-1,862018108;-1,154039137;-4,558923928;-6,498456583;-6,064223121
17.05.2022;2,016961036;1,144339578;1,381528768;1,047198743;2,911586014;2,692126526;2,871594061;0,901161589;0,707427994;1,377609248;-3,703990902;1,632278681
16.05.2022;-0,394642995;2,623111474;0,691198077;-0,801365289;-0,908941645;-0,77834301;-0,489111684;1,411698125;1,621185446;-2,096969522;-0,355431927;-0,224365282
13.05.2022;2,386974311;3,383934753;1,052773654;2,552981014;3,444836882;1,368440233;1,402508669;-0,375873122;0,657166064;3,419638131;-1,531828557;2,566690554
12.05.2022;-0,129600171;0,098034244;0,924929506;0,743608417;-1,138790342;-0,707423423;0,056626308;1,442567389;0,969208976;-0,57518549;-0,202480385;-1,724924615
11.05.2022;-1,646317842;1,365521023;-0,640865134;-0,164549212;-3,297874555;-1,003026992;-0,810849452;-0,062451045;-0,111706881;-1,351262421;-1,5572443;-2,31291726
10.05.2022;0,245788276;0,933835991;0,332020641;-2,284710018;1,576178433;-0,797796731;-0,403787671;0,159026335;-0,724530534;0,327919363;0,636894762;6,130067255
09.05.2022;-3,203713494;-8,302939964;-2,570039361;-4,618731721;-3,936655996;-2,457624181;-2,033678756;-0,833710062;-1,096811933;-4,879733719;1,838563877;-1,697314018
06.05.2022;-0,567415906;2,913001616;-0,296146794;-1,020228051;-0,794776721;-0,717542803;-0,474027648;0,421250449;0,212500916;-1,034494665;0;-1,374875374
05.05.2022;-3,564975338;-1,393560015;-1,960606805;-2,53242955;-4,927580658;-2,915135316;-2,521122131;-1,504705454;-0,878849506;-2,569571536;-3,442069187;-2,982115048
04.05.2022;2,986243498;4,114798867;2,197991012;1,088695652;3,512967877;3,018621141;2,918030504;1,40136657;3,161996104;2,843303463;1,789478968;0,513344028
03.05.2022;0,483710274;2,866055425;0,336843222;1,246654458;0,180395678;1,261719703;0,420613036;0,277031742;1,328676638;-2,03634786;1,991501561;0,728618856
