S&P 500 COMPOSITE;05.11.2018;0.4;-1.01;1.56;0.008
S&P 500 COMPOSITE;06.11.2018;0.58;-0.16;0.03;0.008
S&P 500 COMPOSITE;07.11.2018;2.11;-0.33;-1.06;0.008
S&P 500 COMPOSITE;08.11.2018;-0.28;-0.25;0.25;0.008
S&P 500 COMPOSITE;09.11.2018;-1.04;-0.86;0.42;0.008
S&P 500 COMPOSITE;12.11.2018;-2.06;0.01;0.85;0.008
S&P 500 COMPOSITE;13.11.2018;-0.13;-0.11;0.16;0.008
S&P 500 COMPOSITE;14.11.2018;-0.77;0.03;-0.28;0.008
S&P 500 COMPOSITE;15.11.2018;1.18;0.36;-0.4;0.008
S&P 500 COMPOSITE;16.11.2018;0.15;0.02;-0.06;0.008
S&P 500 COMPOSITE;19.11.2018;-1.88;-0.73;2.3;0.008
S&P 500 COMPOSITE;20.11.2018;-1.85;0.14;-0.54;0.008
S&P 500 COMPOSITE;21.11.2018;0.51;0.98;-0.34;0.008
S&P 500 COMPOSITE;23.11.2018;-0.55;0.83;-0.6;0.008
S&P 500 COMPOSITE;26.11.2018;1.62;-0.66;-0.2;0.008
S&P 500 COMPOSITE;27.11.2018;0.11;-1.09;0.26;0.008
S&P 500 COMPOSITE;28.11.2018;2.42;0.45;-1.17;0.008
S&P 500 COMPOSITE;29.11.2018;-0.22;-0.1;-0.1;0.008
S&P 500 COMPOSITE;30.11.2018;0.78;-0.33;-0.43;0.008
S&P 500 COMPOSITE;03.12.2018;1.13;-0.05;-0.81;0.011
S&P 500 COMPOSITE;04.12.2018;-3.45;-0.96;-0.2;0.011
S&P 500 COMPOSITE;06.12.2018;-0.16;0.13;-1.05;0.011
S&P 500 COMPOSITE;07.12.2018;-2.36;0.21;1.33;0.011
S&P 500 COMPOSITE;10.12.2018;0.1;-0.11;-1.62;0.011
S&P 500 COMPOSITE;11.12.2018;-0.08;-0.05;-0.42;0.011
S&P 500 COMPOSITE;12.12.2018;0.68;0.58;-0.18;0.011
S&P 500 COMPOSITE;13.12.2018;-0.26;-1.51;-0.19;0.011
S&P 500 COMPOSITE;14.12.2018;-1.89;-0.07;0.5;0.011
S&P 500 COMPOSITE;17.12.2018;-2.13;-0.26;1.08;0.011
S&P 500 COMPOSITE;18.12.2018;-0.03;0.02;-0.61;0.011
S&P 500 COMPOSITE;19.12.2018;-1.58;-0.62;0.03;0.011
S&P 500 COMPOSITE;20.12.2018;-1.62;-0.29;0.97;0.011
S&P 500 COMPOSITE;21.12.2018;-2.17;-0.55;0.76;0.011
S&P 500 COMPOSITE;24.12.2018;-2.55;1.0;-0.49;0.011
S&P 500 COMPOSITE;26.12.2018;5.06;-0.05;-1.01;0.011
S&P 500 COMPOSITE;27.12.2018;0.78;-0.67;-0.13;0.011
S&P 500 COMPOSITE;28.12.2018;-0.03;0.77;0.26;0.011
S&P 500 COMPOSITE;31.12.2018;0.9;-0.1;-0.45;0.011
S&P 500 COMPOSITE;02.01.2019;0.23;0.59;1.12;0.01
S&P 500 COMPOSITE;03.01.2019;-2.45;0.36;1.19;0.01
S&P 500 COMPOSITE;04.01.2019;3.55;0.41;-0.7;0.01
S&P 500 COMPOSITE;07.01.2019;0.94;1.0;-0.75;0.01
S&P 500 COMPOSITE;08.01.2019;1.01;0.52;-0.63;0.01
S&P 500 COMPOSITE;09.01.2019;0.56;0.46;0.1;0.01
S&P 500 COMPOSITE;10.01.2019;0.42;0.03;-0.46;0.01
S&P 500 COMPOSITE;11.01.2019;-0.01;0.12;0.22;0.01
